Rank,Artifact Name,Sector,Subsector,Description Stub
1,Phase III Clinical Trial Protocol & Execution Plan,Medical/Pharma,Clinical Trials,"Pivotal efficacy/safety trial design, endpoints, site network, statistical analysis plan"
2,Phase II Clinical Trial Protocol & Execution Plan,Medical/Pharma,Clinical Trials,Proof-of-concept dose-finding trial design and operational plan
3,Phase I Clinical Trial Protocol & Execution Plan,Medical/Pharma,Clinical Trials,First-in-human safety and pharmacokinetics trial design
4,Drug Development Regulatory Strategy & Submission Plan (IND/NDA),Medical/Pharma,Regulatory,"Regulatory pathway planning, IND application, NDA/BLA strategy document"
5,"Medical Device Regulatory Submission Package (510(k), PMA)",Medical/Pharma,Regulatory,"Device classification, predicate device analysis, PMA or 510(k) filing documentation"
6,Large-Cap Sell-Side M&A Advisory Mandate (1B+ deals),Financial Services,M&A Advisory,"Strategic advisory, buyer identification, CIM production, process management for large transactions"
7,Upper Mid-Market Sell-Side M&A Mandate (100M-1B),Financial Services,M&A Advisory,"Sell-side advisory for mid-market companies, CIM, buyer meetings, process management"
8,Lower Mid-Market Sell-Side M&A Mandate (25-100M),Financial Services,M&A Advisory,Sell-side advisory for smaller mid-market transactions
9,Buy-Side M&A Advisory & Target Evaluation Package,Financial Services,M&A Advisory,"Acquisition strategy, target screening, negotiation support, deal structuring advice"
10,Fairness Opinion (Mid-Market M&A),Financial Services,M&A Advisory,Independent valuation opinion for fiduciary duty protection in M&A transactions
11,Financial Due Diligence Report,Financial Services,M&A Advisory,"Comprehensive financial analysis, historical performance, working capital, EBITDA adjustment review"
12,Commercial Due Diligence Report,Financial Services,M&A Advisory,"Market analysis, competitive positioning, revenue sustainability, growth drivers assessment"
13,Tax Due Diligence Report & Restructuring Opinion,Financial Services,M&A Advisory,"Tax exposure assessment, compliance review, post-acquisition restructuring strategy"
14,Private Equity Investment Committee Memo & Valuation Model,Financial Services,PE/VC,"Investment thesis, financial model, entry/exit strategy, risk assessment for IC approval"
15,Venture Capital Due Diligence Report & Term Sheet Support,Financial Services,PE/VC,"Startup financial analysis, market sizing, founder assessment, term sheet negotiation"
16,Restructuring/Chapter 11 Plan & Disclosure Statement,Financial Services,Restructuring,"Bankruptcy plan, creditor recovery analysis, DIP financing, emergence strategy"
17,Asset Valuation & Appraisal Report (Non-Real Estate),Financial Services,Valuation,"Fair value assessment of plant, equipment, intangibles, intellectual property"
18,"Business Valuation Report (Minority Interest, Damages)",Financial Services,Valuation,"Corporate valuation for litigation, buy-sell agreements, shareholder disputes"
19,Legal Due Diligence Opinion (M&A),Legal Services,Corporate Law,"Comprehensive legal review of target company, material contracts, litigation, compliance"
20,Patent Application (Utility Patent),Legal Services,Intellectual Property,"Patent specification, claims, drawings, prosecution through USPTO to issuance"
21,Patent Application (Design Patent),Legal Services,Intellectual Property,"Design patent application, drawings, ornamental design claims"
22,Trademark Application & Registration Package,Legal Services,Intellectual Property,"Trademark search, application filing, office action responses, registration through USPTO"
23,Copyright Registration & Notice Package,Legal Services,Intellectual Property,"Copyright registration, infringement notices, licensing agreements"
24,IP Due Diligence Report & Freedom-to-Operate Opinion,Legal Services,Intellectual Property,"Patent landscape analysis, infringement risk assessment, licensing strategy"
25,Complex Commercial Contract Suite (Acquisition Agreement),Legal Services,Corporate Law,"Negotiated acquisition agreement with reps, warranties, indemnities, escrow provisions"
26,Securities Offering Legal Opinion & Documentation Package,Legal Services,Securities Law,"Legal opinions, SEC compliance review, prospectus review for public offering"
27,IPO/Equity Offering Prospectus & Registration Statement (S-1),Legal Services,Securities Law,"SEC S-1 filing with full disclosure, risk factors, executive compensation, cap table"
28,Litigation Expert Report & Damages Calculation,Legal Services,Litigation,"Expert analysis on liability, causation, damages; prepared for depositions, trial"
29,Litigation Discovery & Document Review Strategy,Legal Services,Litigation,"Discovery plan, ESI protocol, document review protocols, litigation hold notices"
30,"Legal Brief & Memorandum of Law (Summary Judgment, Appeal)",Legal Services,Litigation,"Detailed legal arguments, case citations, fact analysis for court motions"
31,Regulatory Compliance Audit & Remediation Plan,Legal Services,Regulatory,"Compliance gap assessment, recommendations, implementation roadmap (HIPAA, SOX, GDPR, etc.)"
32,Anti-Corruption/FCPA Compliance Program & Training,Legal Services,Regulatory,"FCPA risk assessment, controls framework, third-party vetting, training materials"
