Artifact,Sector,Claude_Value,Gemini_Value,COVID_Impact,Search_Priority
"New Drug Application (NDA)","Medical/Pharma","$3M-$8M","$100M-$500M","Increased - vaccine/therapeutic development surge","High"
"Phase III Clinical Trial","Medical/Pharma","$15M-$30M","$50M-$100M","Increased - COVID vaccine trials accelerated","High"
"M&A Advisory Package","Legal/Financial","$2M-$10M","$4M-$10M","Decreased Q2 2020, strong rebound Q3-Q4","High"
"Chapter 11 Restructuring Plan","Legal/Financial","$1M-$5M","$20M-$75M","Increased - retail/hospitality bankruptcies","High"
"IPO S-1 Registration","Financial/Legal","$700K-$2M","$5M-$15M","Strong activity - tech IPO boom 2020","High"
"Phase II Clinical Trial","Medical/Pharma","$8M-$15M","$2M-$6M","Increased - accelerated clinical programs","High"
"Digital Transformation Roadmap","Consulting","$1M-$3M","$2.5M-$7.5M","Massively increased - COVID forced digital adoption","High"
"Fairness Opinion","Financial Services","$500K-$7.5M","$1M-$3M","Stable - required for major transactions","High"
"Corporate Due Diligence","Financial Advisory","$500K-$1.5M","$500K-$1.5M","Decreased Q2, recovered Q3-Q4 with M&A","High"
"Enterprise Cloud Migration","Technology","$400K-$1.5M","$1M-$4M","Dramatically increased - remote work infrastructure","High"
"Cybersecurity Remediation Plan","Technology","$100K-$500K","$750K-$2M","Increased - remote work security threats","Medium"
"Environmental Impact Statement","Environmental","$700K-$2M","$2M-$5M","Stable - infrastructure projects continued","Medium"
"Major Infrastructure Engineering Design","Engineering","","$50M-$150M","Stable - government stimulus programs","High"
"Enterprise Software Architecture","Technology","$200K-$500K","$3M-$10M","Stable to increased - digital transformation","Medium"
"Super Bowl Commercial","Creative/Marketing","$50K-$200K","$2M-$7M","Stable - major event still occurred Feb 2020","Medium"
"Global Rebranding","Creative/Marketing","$250K-$500K","$1M-$2.5M","Stable - brand refresh projects continued","Medium"
"Financial Audit (Public Company)","Financial Services","$250K-$1M","$250K-$600K","Stable - regulatory requirement","Medium"
"Supply Chain Optimization","Consulting","$200K-$400K","$750K-$2M","Increased - supply chain disruptions from COVID","Medium"
"Real Estate Feasibility Study","Real Estate","$100K-$300K","$250K-$600K","Decreased - commercial real estate uncertainty","Low"
"Phase I Clinical Trial","Medical/Pharma","$1.4M-$6.6M","$300K-$800K","Increased - expanded clinical research","Medium"
"Change Management Program","Consulting","$100K-$250K","$300K-$700K","Increased - COVID-driven organizational changes","Medium"
"AI/ML Model Development","Technology","$50K-$200K","$500K-$1.5M","Increased - early ML adoption acceleration","Medium"
"Architectural Plans (Commercial)","Architecture","$300K-$1.5M","$200K-$450K","Decreased - construction slowdown","Low"
"Construction Management Plan","Construction","$200K-$500K","$150K-$400K","Decreased Q2-Q3, recovery Q4","Low"
"Medical Device 510(k)","Medical/Pharma","$200K-$400K","$150K-$450K","Stable - regulatory requirement","Low"
"Transfer Pricing Study","Tax/International","$150K-$500K","","Stable - multinational compliance","Low"
"SOC 2 Type 2 Audit","Technology","$100K-$150K","$30K-$60K","Increased - security compliance for remote work","Medium"
"Machine Learning Model","Technology","$50K-$200K","","Increased - automation interest","Low"
"API Development","Technology","$50K-$150K","","Increased - digital integration needs","Low"
"Brand Positioning Strategy","Creative/Marketing","$250K-$500K","$100K-$300K","Stable","Low"
